0.0011254240034933	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium  madagascariense
0.0011004145811934	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium  mucogenicum
0.0007002638243958	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium  celeriflavum
0.0006752544020959	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium  septicum
0.0006002261351964	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium  farcinogenes
0.0003001130675982	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium  nivoides
0.0002250848006986	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium  vanbaalenii
0.0006752544020959	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacteroides	 Mycobacteroides sp.
0.0030011306759821	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacteroides	 Mycobacteroides  abscessus
0.0016506218717902	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacteroides	 Mycobacteroides  chelonae
0.001175442848093	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacteroides	 Mycobacteroides  salmoniphilum
0.0009753674696942	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacteroides	 Mycobacteroides  saopaulense
0.0008753297804948	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacteroides	 Mycobacteroides  immunogenum
0.0006502449797961	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacteroides	 Mycobacteroides  [Mycobacterium] stephanolepidis
0.0001500565337991	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter sp.
0.0008003015135952	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  sp. MYC098
0.0007002638243958	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  sp. MYC017
0.0006252355574962	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  sp. MYC340
0.000325122489898	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  sp. MYC101
0.0001000376891994	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  sp. MYC123
0.0017756689832894	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  minnesotensis
0.00167563129409	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  hiberniae
